audio_path,label
/data/xuanru/VCTK/VCTK_16k/p318/p318_263.wav,It is up to Ann.
/data/xuanru/VCTK/VCTK_16k/p318/p318_273.wav,There is no more money.
/data/xuanru/VCTK/VCTK_16k/p318/p318_403.wav,It would have been very easily done.
/data/xuanru/VCTK/VCTK_16k/p318/p318_020.wav,Many complicated ideas about the rainbow have been formed.
/data/xuanru/VCTK/VCTK_16k/p318/p318_424.wav,We have no plans for direct action.
/data/xuanru/VCTK/VCTK_16k/p318/p318_054.wav,He will be judged by his actions.
/data/xuanru/VCTK/VCTK_16k/p318/p318_164.wav,Agents and coaches must be paid.
/data/xuanru/VCTK/VCTK_16k/p318/p318_180.wav,We won't do that.
/data/xuanru/VCTK/VCTK_16k/p318/p318_141.wav,That sort of thing is long gone.
/data/xuanru/VCTK/VCTK_16k/p318/p318_364.wav,I am amazed at what he's done.
/data/xuanru/VCTK/VCTK_16k/p318/p318_056.wav,I have really noticed that this week.
/data/xuanru/VCTK/VCTK_16k/p318/p318_377.wav,She is currently in foster care.
/data/xuanru/VCTK/VCTK_16k/p318/p318_332.wav,Three people were pronounced dead at the scene.
/data/xuanru/VCTK/VCTK_16k/p318/p318_118.wav,We didn't get the supply to the forwards.
/data/xuanru/VCTK/VCTK_16k/p318/p318_124.wav,"Life, as many people know it, in other words."
/data/xuanru/VCTK/VCTK_16k/p318/p318_179.wav,He's got a great chance of making it.
/data/xuanru/VCTK/VCTK_16k/p318/p318_123.wav,There is a great carry over value.
/data/xuanru/VCTK/VCTK_16k/p318/p318_336.wav,He pleaded for caution.
/data/xuanru/VCTK/VCTK_16k/p318/p318_100.wav,They have just got to believe in themselves.
/data/xuanru/VCTK/VCTK_16k/p318/p318_362.wav,It was the same at Twickenham.
/data/xuanru/VCTK/VCTK_16k/p318/p318_345.wav,Staff have been informed.
/data/xuanru/VCTK/VCTK_16k/p318/p318_419.wav,I didn't play all that well.
/data/xuanru/VCTK/VCTK_16k/p318/p318_269.wav,The conference is the first test.
/data/xuanru/VCTK/VCTK_16k/p318/p318_041.wav,But he is not using them.
/data/xuanru/VCTK/VCTK_16k/p318/p318_372.wav,This was not a summit about the euro.
/data/xuanru/VCTK/VCTK_16k/p318/p318_261.wav,He was in contention almost every week.
/data/xuanru/VCTK/VCTK_16k/p318/p318_303.wav,I'm sure everyone will be delighted for them.
/data/xuanru/VCTK/VCTK_16k/p318/p318_410.wav,I knew people on that committee.
/data/xuanru/VCTK/VCTK_16k/p318/p318_064.wav,I learned a lot from that.
/data/xuanru/VCTK/VCTK_16k/p318/p318_366.wav,The idea was presented to me.
/data/xuanru/VCTK/VCTK_16k/p318/p318_211.wav,I suspect that it will.
/data/xuanru/VCTK/VCTK_16k/p318/p318_117.wav,They will be destroyed.
/data/xuanru/VCTK/VCTK_16k/p318/p318_423.wav,The whole nation will be delighted.
/data/xuanru/VCTK/VCTK_16k/p318/p318_224.wav,There is no margin for error.
/data/xuanru/VCTK/VCTK_16k/p318/p318_149.wav,"It will be about commitment, not compliance."
/data/xuanru/VCTK/VCTK_16k/p318/p318_027.wav,This year it will be Billy Crystal.
/data/xuanru/VCTK/VCTK_16k/p318/p318_090.wav,The Parliament will make its own decisions.
/data/xuanru/VCTK/VCTK_16k/p318/p318_055.wav,Her role in it was small.
/data/xuanru/VCTK/VCTK_16k/p318/p318_144.wav,They played it like a cup final.
/data/xuanru/VCTK/VCTK_16k/p318/p318_306.wav,It may well have been.
/data/xuanru/VCTK/VCTK_16k/p318/p318_238.wav,There is nothing to fear.
/data/xuanru/VCTK/VCTK_16k/p318/p318_193.wav,All these things have an impact.
/data/xuanru/VCTK/VCTK_16k/p318/p318_406.wav,It's going to be a new challenge.
/data/xuanru/VCTK/VCTK_16k/p318/p318_053.wav,It was large enough to fit the wall.
/data/xuanru/VCTK/VCTK_16k/p318/p318_230.wav,She asked us a lot of questions.
/data/xuanru/VCTK/VCTK_16k/p318/p318_002.wav,Ask her to bring these things with her from the store.
/data/xuanru/VCTK/VCTK_16k/p318/p318_267.wav,"So, it took me back to boarding school."
/data/xuanru/VCTK/VCTK_16k/p318/p318_392.wav,We also enjoyed a lot of support.
/data/xuanru/VCTK/VCTK_16k/p318/p318_037.wav,"This was the performance, and the result they needed."
/data/xuanru/VCTK/VCTK_16k/p318/p318_115.wav,Such a policy would be a disaster.
/data/xuanru/VCTK/VCTK_16k/p318/p318_337.wav,I disagree entirely with the decision.
/data/xuanru/VCTK/VCTK_16k/p318/p318_075.wav,I'm so worried about the roads.
/data/xuanru/VCTK/VCTK_16k/p318/p318_024.wav,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."
/data/xuanru/VCTK/VCTK_16k/p318/p318_015.wav,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
/data/xuanru/VCTK/VCTK_16k/p318/p318_214.wav,"We are a party for people, not against people."
/data/xuanru/VCTK/VCTK_16k/p318/p318_083.wav,I've invented a village in East Lothian.
/data/xuanru/VCTK/VCTK_16k/p318/p318_104.wav,We shall be victorious.
/data/xuanru/VCTK/VCTK_16k/p318/p318_219.wav,"He's very, very lucky to be alive."
/data/xuanru/VCTK/VCTK_16k/p318/p318_213.wav,The squad will be the same for France.
/data/xuanru/VCTK/VCTK_16k/p318/p318_409.wav,He deserves a top team.
/data/xuanru/VCTK/VCTK_16k/p318/p318_318.wav,That is the position the MoD has adopted.
/data/xuanru/VCTK/VCTK_16k/p318/p318_156.wav,"If so, we want to hear from them."
/data/xuanru/VCTK/VCTK_16k/p318/p318_112.wav,A web site is planned for November.
/data/xuanru/VCTK/VCTK_16k/p318/p318_052.wav,What were they?
/data/xuanru/VCTK/VCTK_16k/p318/p318_360.wav,A handful of those restrictions are in Scotland.
/data/xuanru/VCTK/VCTK_16k/p318/p318_074.wav,But you can go beyond that condition.
/data/xuanru/VCTK/VCTK_16k/p318/p318_244.wav,This was done by the council staff.
/data/xuanru/VCTK/VCTK_16k/p318/p318_197.wav,They should feel ashamed.
/data/xuanru/VCTK/VCTK_16k/p318/p318_231.wav,It was a stunning strike.
/data/xuanru/VCTK/VCTK_16k/p318/p318_084.wav,That's why the ministers resigned.
/data/xuanru/VCTK/VCTK_16k/p318/p318_142.wav,It is typical of me.
/data/xuanru/VCTK/VCTK_16k/p318/p318_346.wav,My heart is not so sure.
/data/xuanru/VCTK/VCTK_16k/p318/p318_388.wav,I was released after six days.
/data/xuanru/VCTK/VCTK_16k/p318/p318_191.wav,We have understood the problems for some time.
/data/xuanru/VCTK/VCTK_16k/p318/p318_283.wav,Funding needs to be long term.
/data/xuanru/VCTK/VCTK_16k/p318/p318_357.wav,It seems very odd.
